སྲས་
མི་བྱ་ བ
གླང་ ཐང་པ་
བཏེགས་
མི་ ཕོད་པ་
མི་ འཁྲོ་
མི་ གཤེ
བརྡེགས་
མི་ བརྡེག་
མི་ འབྲུ་
བཅས་པ་
དྲིན་ ཆེན་
འདེམ་པ་
སྔོན་མ
བརྒྱ་བ་
མི་ འཛིན་ པ་
མདོ་སྡེ་ རྒྱན་
འདི་འདྲ་ བ
མི་ སྲིང་བ་
ཚབ་ ཆེན་
གླང་ཐང་ བ
མ་ སྨྲ་
ཡང་ ལན་
འཆད་ ཀ་བ་
ཡང་ ལན་
མ་ ཐོགས་
ངོ་མཚར་ བ
མི་ ཉམས་པ་
མི་ སྤོངས་
མི་ བྱུང་
དང་ དུ་ ལེན་པ་
མི་ བསྡོ་
སེམས་ ཅན་
བསླབ་ བཏུས་
མ་ བརྟེན་པ་
ཐོངས་
ཐོངས་
སེམས་ཅན་
ལྟ་བུ་
མ་ སྙོམ་པ་
མི་ བསམ་པ་
ཅི་ཞིག་
མི་ ཚུགས་
མི་ ནོན་པ་
མི་ བཟོད་
མི་ ཚུགས་
མི་ ཞན་པ་
འགྲོ་བ
དགའ་
མ་ བལྟ་
སེང་ ངེ་ བ
ལན་གྲངས་
འདྲ་
མ་ སོང་བ་
མ་ སོང་བ་
གླང་ རི་ཐང་པ་
པུ་ ཏོ་པ་
མ་ འཛིན་པ་
མི་ ཐེག་པ་
མ་ རྙེད་
ཐར་ བ
བསྡིབས་
མཐུན་པ
མ་ཐུབ་པ་
མ་ཐུབ་པ་
མི་ ཁུག་
མ་ ཐུབ་པ་
མ་ བཅོམ་
མི་ འདོར་
མ་ བཅོམ་པ་
དྲུང་ འབྱིན་
མི་ ཐོབ་པ་
